config,model,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,brier_mean,best_thresh_mean,best_thresh_std,dataset,imputer,with_flag,avg_rank
PIMA__imp_mice,ann,0.8293417190775682,0.0289505009345283,0.6852355623365329,0.0516043848261359,0.682738666417072,0.0292130076509328,0.6165917256852593,0.7719776380153738,0.749978779390544,0.1657197808143725,0.418,0.1111642928282279,PIMA,mice,0,94.83333333333333
PIMA__imp_mice,ann_xgb_ens,0.8148127183787561,0.0213338971390856,0.667053406254132,0.0499730993655387,0.6712471389520851,0.0118899823098767,0.57803898568982,0.813487071977638,0.7226466344113402,0.173226884348848,0.2859999999999999,0.1481300104637814,PIMA,mice,0,104.16666666666667
PIMA__imp_mice,deep_ann,0.8292375960866527,0.0145752869845843,0.6924873305704773,0.041413336056078,0.6763531465664785,0.0220320179080654,0.6054887921715372,0.8020964360587002,0.7291486291486292,0.1676270934918034,0.4039999999999999,0.127739970252071,PIMA,mice,0,99.83333333333333
PIMA__imp_mice,deepnetx2,0.8244143955276032,0.0239594095304701,0.6776881367667295,0.0366905353396738,0.6820366576791749,0.0378625792819642,0.6144925508411336,0.7834381551362684,0.7447839741957389,0.1791396185425804,0.4949999999999999,0.045276925690687,PIMA,mice,0,96.75
PIMA__imp_mice,lr,0.8266023759608665,0.0227803890079012,0.7091155610149245,0.0465562848275487,0.6561575328059108,0.0289643078882031,0.6003180563005344,0.7464011180992313,0.7251931075460487,0.1711919535986945,0.4579999999999999,0.0929784921366226,PIMA,mice,0,97.08333333333333
PIMA__imp_mice,rf,0.8202487770789657,0.0248692427030428,0.6700821894196968,0.0380716313833655,0.6431243787491103,0.0178074934062143,0.5661751427826307,0.783298392732355,0.6966556319497496,0.1662258005721097,0.3499999999999999,0.1705505790081053,PIMA,mice,0,103.61111111111111
PIMA__imp_mice,stack_lr_oof,0.8391187980433263,0.020536419951084,0.7029227550249472,0.0401818345385215,0.6971630289075847,0.0355167076284936,0.6207305466470002,0.7986722571628232,0.7564468211527036,0.156737656151518,0.3489999999999999,0.0204328167417025,PIMA,mice,0,96.63888888888889
PIMA__imp_mice,xgb,0.7959070580013977,0.0256045110899878,0.6357346316767665,0.0548736080618198,0.6296387216823094,0.0350376496743368,0.5617168367346939,0.731236897274633,0.7031066972243443,0.1964826814477747,0.2339999999999999,0.1644840417791342,PIMA,mice,0,98.36111111111111
PIMA__imp_mice_flag,ann,0.8265387840670859,0.0190364192112092,0.6895806007199378,0.0311951692200021,0.6776872166422822,0.0251125027499395,0.5893038547391225,0.8172606568832984,0.7265512265512266,0.1647557225162174,0.3609999999999999,0.0641677489086222,PIMA,mice,1,103.55555555555556
PIMA__imp_mice_flag,ann_xgb_ens,0.8151698113207548,0.0234885825304842,0.6671650020270914,0.0525644099108669,0.6505681459128992,0.03550507311506,0.5889069744592538,0.7501747030048918,0.721347933112639,0.1730688974752399,0.3119999999999999,0.1346569715982057,PIMA,mice,1,97.16666666666667
PIMA__imp_mice_flag,deep_ann,0.8297763801537386,0.0168021426706246,0.6988592573330117,0.0322774932995029,0.6735439181750242,0.0316443143331566,0.6227783506904658,0.7568832983927323,0.7460741872506579,0.1633489175781947,0.3999999999999999,0.0480884601541783,PIMA,mice,1,100.11111111111111
PIMA__imp_mice_flag,deepnetx2,0.8202571628232006,0.0197677192849414,0.6876608668101146,0.0520083992202635,0.6630528375733855,0.0274696028711483,0.6044343918096639,0.753319357092942,0.7304897716662422,0.1802593717022071,0.481,0.0655171733211987,PIMA,mice,1,95.25
PIMA__imp_mice_flag,lr,0.8266023759608665,0.0227803890079012,0.7091155610149245,0.0465562848275487,0.6561575328059108,0.0289643078882031,0.6003180563005344,0.7464011180992313,0.7251931075460487,0.1711919535986945,0.4579999999999999,0.0929784921366226,PIMA,mice,1,93.02777777777777
PIMA__imp_mice_flag,rf,0.8202487770789657,0.0248692427030428,0.6700821894196968,0.0380716313833655,0.6431243787491103,0.0178074934062143,0.5661751427826307,0.783298392732355,0.6966556319497496,0.1662258005721097,0.3499999999999999,0.1705505790081053,PIMA,mice,1,99.25
PIMA__imp_mice_flag,stack_lr_oof,0.8378022361984627,0.0229927662121809,0.7018319109255259,0.0334185864490011,0.6916900759310979,0.0314291947630309,0.615363648191517,0.7950384346610762,0.7512265512265512,0.1578911802135474,0.3469999999999999,0.0343874977280988,PIMA,mice,1,93.83333333333333
PIMA__imp_mice_flag,xgb,0.7959070580013977,0.0256045110899878,0.6357346316767665,0.0548736080618198,0.6296387216823094,0.0350376496743368,0.5617168367346939,0.731236897274633,0.7031066972243443,0.1964826814477747,0.2339999999999999,0.1644840417791342,PIMA,mice,1,94.52777777777777
PIMA__imp_knn,ann,0.8250153738644304,0.017375445075739,0.6891556153720411,0.0310866197849537,0.6417574850490241,0.0323303891500333,0.6515996041582598,0.6607267645003494,0.7447839741957389,0.1671616586591797,0.472,0.1099772703789287,PIMA,knn,0,111.72222222222223
PIMA__imp_knn,ann_xgb_ens,0.8111362683438156,0.0289780151113806,0.6527941967184132,0.0457398550497468,0.6373991096916276,0.0305903449011659,0.5827594684707527,0.7353598881900769,0.7095917154740684,0.175262916830084,0.344,0.1674589501937713,PIMA,knn,0,108.91666666666667
PIMA__imp_knn,deep_ann,0.8169867225716283,0.0190575311760461,0.6799028705090597,0.02973760975042,0.6597570331822666,0.0357521953604001,0.6203688524590164,0.716701607267645,0.7421611068669891,0.1718592146818773,0.473,0.1007844233996503,PIMA,knn,0,107.91666666666667
PIMA__imp_knn,deepnetx2,0.8278937805730259,0.0322744497956572,0.6839700593037293,0.0553065838450436,0.6881683329329065,0.0401024349160624,0.6145826078767278,0.7909154437456325,0.7486291486291486,0.1680841454137826,0.4429999999999999,0.0500749438342171,PIMA,knn,0,97.72222222222223
PIMA__imp_knn,lr,0.8277505241090146,0.0240703335671054,0.7115822660572578,0.0438242272409343,0.6572112682149127,0.0268147389296393,0.6084194991681298,0.7352201257861635,0.7316866140395553,0.1708119112518525,0.4599999999999999,0.089162772500635,PIMA,knn,0,102.08333333333333
PIMA__imp_knn,rf,0.8223542976939203,0.0266109739067003,0.6747891348556988,0.0372893825912828,0.6764273285563414,0.0308126504064287,0.5653047722622982,0.8543675751222921,0.7122740005092947,0.164181779151571,0.3079999999999999,0.1203432590550879,PIMA,knn,0,102.94444444444444
PIMA__imp_knn,stack_lr_oof,0.838293501048218,0.0192765887391756,0.7024258116542359,0.0324826253017608,0.6945527618049058,0.0423700027967739,0.5942405770798811,0.8394828791055206,0.7408284525931584,0.1580167395908251,0.3239999999999999,0.0151657508881031,PIMA,knn,0,103.55555555555556
PIMA__imp_knn,xgb,0.7981118099231307,0.0324217507498468,0.6320257638361074,0.0514860571452295,0.622878635807362,0.0554757368529899,0.5708333561132068,0.7167714884696017,0.7030642560054325,0.1981630472120489,0.263,0.2177900365030503,PIMA,knn,0,99.80555555555556
PIMA__imp_knn_flag,ann,0.8256967155835081,0.0202719065486091,0.6905121691868599,0.0350428838355338,0.6715885787516305,0.0214277975320279,0.5936507936507937,0.7874213836477988,0.7291316526610644,0.1660587333631053,0.364,0.0833966426182732,PIMA,knn,1,109.30555555555556
PIMA__imp_knn_flag,ann_xgb_ens,0.8114891684136968,0.0310692910781211,0.6508497651965579,0.0520498771136926,0.6497252145774313,0.0388917342997086,0.5684378548053163,0.7909853249475891,0.7057040998217469,0.1745437547142206,0.2779999999999999,0.1658915308266217,PIMA,knn,1,99.72222222222223
PIMA__imp_knn_flag,deep_ann,0.8295283018867924,0.0145742905255987,0.6874905320787934,0.0328285516624393,0.6730578068974333,0.0071339367868161,0.5961250057958918,0.7982529699510831,0.7291995586113234,0.172594671360692,0.4029999999999999,0.0610941895764237,PIMA,knn,1,110.30555555555556
PIMA__imp_knn_flag,deepnetx2,0.8220635918937805,0.0179106595209028,0.67334021451407,0.036457790941553,0.6514308462746413,0.0346262693497951,0.6285306760332687,0.6936408106219426,0.7422205245734658,0.1715758934408158,0.4619999999999999,0.0700535509449735,PIMA,knn,1,104.16666666666667
PIMA__imp_knn_flag,lr,0.8277505241090146,0.0240703335671054,0.7115822660572578,0.0438242272409343,0.6572112682149127,0.0268147389296393,0.6084194991681298,0.7352201257861635,0.7316866140395553,0.1708119112518525,0.4599999999999999,0.089162772500635,PIMA,knn,1,97.97222222222223
PIMA__imp_knn_flag,rf,0.8223542976939203,0.0266109739067003,0.6747891348556988,0.0372893825912828,0.6764273285563414,0.0308126504064287,0.5653047722622982,0.8543675751222921,0.7122740005092947,0.164181779151571,0.3079999999999999,0.1203432590550879,PIMA,knn,1,98.66666666666667
