scenario,imputer,model,n_features,best_thresh,auroc,auprc,accuracy,precision,recall,f1,bss
lodo_PIMA_TYPE2_to_NHANES,median,deep_ann,7,0.26999999999999996,0.5094374437443744,0.1193729074990287,0.8106272473032361,0.03278688524590164,0.019801980198019802,0.024691358024691357,-0.365003695435518
lodo_PIMA_TYPE2_to_NHANES,median,deepnetx2,7,0.30999999999999994,0.4450525052505251,0.10261824887098982,0.805433479824211,0.015789473684210527,0.009900990099009901,0.012170385395537525,-0.4562418635091128
lodo_PIMA_TYPE2_to_NHANES,median,ann_xgb_ens,7,0.49499999999999994,0.5373522352235224,0.12316569785686494,0.8114262884538553,0.03314917127071823,0.019801980198019802,0.024793388429752067,-0.45966556510913303
lodo_PIMA_TYPE2_to_NHANES,median,stack_lr_oof,7,0.575,0.5726027602760276,0.1245978809942205,0.875349580503396,0.0,0.0,0.0,-0.1803826282527965
lodo_NHANES_TYPE2_to_PIMA,median,rf,7,0.49499999999999994,0.9791119402985075,0.9650519481696537,0.9049479166666666,0.9184549356223176,0.7985074626865671,0.8542914171656687,0.7098517014925374
lodo_NHANES_TYPE2_to_PIMA,median,lr,7,0.5099999999999999,0.7914477611940299,0.6340770018129539,0.6640625,0.5112107623318386,0.8507462686567164,0.6386554621848739,0.039908154342726876
lodo_NHANES_TYPE2_to_PIMA,median,xgb,7,0.57,0.9774402985074626,0.9611941599382406,0.921875,0.8489932885906041,0.9440298507462687,0.8939929328621908,0.6987373437850859
lodo_NHANES_TYPE2_to_PIMA,median,ann,7,0.27499999999999997,0.8714179104477612,0.7823589537637372,0.77734375,0.6422287390029325,0.8171641791044776,0.7192118226600985,0.3677144574768888
lodo_NHANES_TYPE2_to_PIMA,median,deep_ann,7,0.4049999999999999,0.8761716417910448,0.7904657875925583,0.8072916666666666,0.780373831775701,0.6231343283582089,0.6929460580912863,0.36668240243343364
lodo_NHANES_TYPE2_to_PIMA,median,deepnetx2,7,0.3,0.8646940298507463,0.7662599779376723,0.7838541666666666,0.6770833333333334,0.7276119402985075,0.7014388489208633,0.35025833050838673
lodo_NHANES_TYPE2_to_PIMA,median,ann_xgb_ens,7,0.3549999999999999,0.9557761194029851,0.9204461613227564,0.8880208333333334,0.7861635220125787,0.9328358208955224,0.8532423208191127,0.6286980725287885
lodo_NHANES_TYPE2_to_PIMA,median,stack_lr_oof,7,0.33999999999999997,0.9813358208955224,0.9689975037347445,0.9270833333333334,0.8785714285714286,0.917910447761194,0.8978102189781022,0.7564547103819869
lodo_NHANES_PIMA_to_TYPE2,median,rf,7,0.31999999999999995,0.9590698821521891,0.9302096472801153,0.8855,0.7724550898203593,0.9429824561403509,0.8492429229756419,0.6052454138202085
lodo_NHANES_PIMA_to_TYPE2,median,lr,7,0.4699999999999999,0.7537893936970085,0.5671440317367611,0.591,0.4528169014084507,0.9400584795321637,0.6112167300380228,-0.13529752489797042
lodo_NHANES_PIMA_to_TYPE2,median,xgb,7,0.35999999999999993,0.9579322863897333,0.922503861410764,0.8235,0.6670030272452069,0.966374269005848,0.7892537313432836,0.5921682945306277
lodo_NHANES_PIMA_to_TYPE2,median,ann,7,0.20499999999999996,0.8313236548818855,0.6938885249350611,0.75,0.6055045871559633,0.7719298245614035,0.6786632390745502,0.23506971373013819
lodo_NHANES_PIMA_to_TYPE2,median,deep_ann,7,0.18,0.8429962317140369,0.7039570483630322,0.7705,0.6288659793814433,0.8026315789473685,0.7052023121387283,0.26452564165155423
lodo_NHANES_PIMA_to_TYPE2,median,deepnetx2,7,0.30499999999999994,0.8261367070157664,0.6777102614998425,0.7465,0.6107634543178974,0.7134502923976608,0.6581254214430209,0.24950713793034363
lodo_NHANES_PIMA_to_TYPE2,median,ann_xgb_ens,7,0.32999999999999996,0.9279637480225387,0.8597857677793026,0.844,0.7162790697674418,0.9005847953216374,0.7979274611398963,0.5377328294923702
lodo_NHANES_PIMA_to_TYPE2,median,stack_lr_oof,7,0.295,0.9642612737517553,0.9365577995190089,0.864,0.7340909090909091,0.9444444444444444,0.8260869565217391,0.621968825510656
merged_cv_fold1,median,rf,7,0.43499999999999994,0.9890834671265187,0.9691497225076093,0.9469194312796209,0.8884462151394422,0.8884462151394422,0.8884462151394422,0.791051319184291
merged_cv_fold1,median,lr,7,0.49499999999999994,0.7752720461437831,0.49283844682831884,0.6938388625592417,0.41044776119402987,0.6573705179282868,0.5053598774885145,-0.08115833839119002
merged_cv_fold1,median,xgb,7,0.5199999999999999,0.9750649144714675,0.9190458858626616,0.9251184834123223,0.7866666666666666,0.9402390438247012,0.8566243194192378,0.6863431902949598
merged_cv_fold1,median,ann,7,0.21999999999999997,0.8791104239757389,0.6905330413963167,0.7838862559241706,0.5279805352798054,0.8645418326693227,0.6555891238670695,0.3537198333792254
